Species	Status	min_age	max_age
Felidae	extant	10.3	13.6
Pseudaelurus_intrepidus	extinct	4.9	13.6
Amphimachairodus_coloradensis	extinct	4.9	13.6
Amphimachairodus_coloradensis	extinct	4.9	13.6
Amphimachairodus_coloradensis	extinct	4.9	10.3
Pseudaelurus_marshi	extinct	13.6	15.97
Pseudaelurus_intrepidus	extinct	13.6	15.97
Pseudaelurus	extinct	13.6	15.97
Felinae	extinct	10.3	13.6
Pseudaelurus	extinct	10.3	13.6
Amphimachairodus_coloradensis	extinct	4.9	10.3
Megantereon_hesperus	extinct	4.9	10.3
Nimravides_galiani	extinct	10.3	13.6
Felidae	extant	4.9	10.3
Felis_rexroadensis	extinct	4.9	10.3
Megantereon_hesperus	extinct	4.9	10.3
Felis_rexroadensis	extinct	4.9	10.3
Megantereon_hesperus	extinct	4.9	10.3
Machairodus	extinct	4.9	10.3
Amphimachairodus_coloradensis	extinct	5.333	23.03
Machairodus	extinct	4.9	10.3
Felidae	extant	13.6	15.97
Pseudaelurus_intrepidus	extinct	4.9	10.3
Amphimachairodus_coloradensis	extinct	4.9	10.3
Pseudaelurus	extinct	4.9	10.3
Amphimachairodus_coloradensis	extinct	4.9	10.3
Pseudaelurus_aeluroides	extinct	13.6	15.97
Pseudaelurus	extinct	5.333	23.03
Machairodus	extinct	4.9	10.3
Felidae	extant	10.3	13.6
Felidae	extant	5.333	23.03
Pseudaelurus	extinct	10.3	13.6
Felidae	extant	4.9	10.3
Pseudaelurus	extinct	10.3	13.6
Felinae	extinct	4.9	10.3
Machairodus	extinct	4.9	10.3
Pseudaelurus	extinct	4.9	10.3
Machairodontinae	extinct	4.9	10.3
Lynx_longignathus	extinct	4.9	10.3
Machairodus	extinct	4.9	10.3
Felidae	extant	5.333	23.03
Felidae	extant	4.9	10.3
Pseudaelurus	extinct	13.6	15.97
Felidae	extant	10.3	13.6
Felidae	extant	10.3	13.6
Machairodus	extinct	4.9	10.3
Felidae	extant	4.9	10.3
Felidae	extant	5.333	23.03
Pseudaelurus_intrepidus	extinct	13.6	15.97
Felidae	extant	4.9	10.3
Felidae	extant	1.8	4.9
Felidae	extant	5.333	23.03
Pseudaelurus_intrepidus	extinct	10.3	13.6
Nimravides_thinobates	extinct	10.3	13.6
Felidae	extant	13.6	20.43
Machairodus	extinct	4.9	10.3
Felidae	extant	5.333	23.03
Machairodontinae	extinct	13.6	15.97
Felidae	extant	5.333	23.03
Nimravides_thinobates	extinct	4.9	10.3
Felidae	extant	15.97	20.43
Felidae	extant	5.333	23.03
Pseudaelurus	extinct	13.6	15.97
Felidae	extant	4.9	10.3
Felidae	extant	10.3	13.6
Felinae	extinct	4.9	10.3
Felinae	extinct	4.9	10.3
Pseudaelurus_validus	extinct	13.6	15.97
Felidae	extant	13.6	20.43
Machairodus	extinct	4.9	10.3
Pseudaelurus	extinct	10.3	13.6
Machairodus	extinct	4.9	10.3
Adelphailurus	extinct	4.9	10.3
Felinae	extinct	4.9	10.3
Nimravides	extinct	4.9	10.3
Felidae	extant	10.3	13.6
Amphimachairodus_coloradensis	extinct	4.9	10.3
Amphimachairodus_coloradensis	extinct	4.9	10.3
Adelphailurus_kansensis	extinct	4.9	10.3
Pseudaelurus	extinct	4.9	10.3
Chasmaporthetes_ossifragus	extinct	0.3	4.9
Felidae	extant	1.8	4.9
Felinae	extinct	1.8	4.9
Chasmaporthetes_ossifragus	extinct	1.8	4.9
Felinae	extinct	1.8	4.9
Lynx	extant	1.8	4.9
Chasmaporthetes_ossifragus	extinct	1.8	4.9
Felinae	extinct	1.8	4.9
Felinae	extinct	1.8	4.9
Chasmaporthetes_ossifragus	extinct	1.8	4.9
Felidae	extant	1.8	4.9
Homotherium	extinct	1.8	4.9
Felinae	extinct	1.8	4.9
Homotherium	extinct	1.8	4.9
Puma_concolor	extant	1.8	4.9
Lynx	extant	1.8	4.9
Machairodontinae	extinct	1.8	4.9
Miracinonyx_studeri	extinct	1.8	4.9
Felis_rexroadensis	extinct	2.588	3.6
Felidae	extant	1.8	4.9
Felis_rexroadensis	extinct	1.8	4.9
Felidae	extant	1.8	4.9
Lynx	extant	1.8	4.9
Smilodon_gracilis	extinct	1.8	4.9
Smilodon_gracilis	extinct	1.8	4.9
Smilodon_gracilis	extinct	1.8	4.9
Lynx	extant	1.8	4.9
Homotherium	extinct	1.8	4.9
Miracinonyx_inexpectatus	extinct	1.8	4.9
Miracinonyx_inexpectatus	extinct	1.8	4.9
Smilodon_gracilis	extinct	1.8	4.9
Homotherium	extinct	1.8	4.9
Chasmaporthetes_ossifragus	extinct	1.8	4.9
Miracinonyx_inexpectatus	extinct	1.8	4.9
Chasmaporthetes_ossifragus	extinct	1.8	4.9
Homotherium_idahoensis	extinct	1.8	4.9
Puma_concolor	extant	1.8	4.9
Puma_concolor	extant	1.8	4.9
Puma_concolor	extant	1.8	4.9
Felidae	extant	1.8	4.9
Megantereon_hesperus	extinct	1.8	4.9
Felidae	extant	1.8	4.9
Felidae	extant	1.8	4.9
Felidae	extant	1.8	4.9
Felidae	extant	1.8	4.9
Felidae	extant	1.8	4.9
Felidae	extant	1.8	4.9
Felidae	extant	1.8	4.9
Felidae	extant	1.8	4.9
Felidae	extant	1.8	4.9
Felidae	extant	1.8	4.9
Felidae	extant	1.8	4.9
Felidae	extant	1.8	4.9
Felidae	extant	1.8	4.9
Felidae	extant	1.8	4.9
Felis_rexroadensis	extinct	1.8	4.9
Felidae	extant	1.8	4.9
Felidae	extant	1.8	4.9
Felidae	extant	1.8	4.9
Felidae	extant	1.8	4.9
Felidae	extant	1.8	4.9
Homotherium_idahoensis	extinct	1.8	4.9
Felis_lacustris	extinct	1.8	4.9
Homotherium_idahoensis	extinct	1.8	4.9
Homotherium	extinct	1.8	4.9
Lynx	extant	1.8	4.9
Chasmaporthetes	extinct	1.8	4.9
Felinae	extinct	1.8	4.9
Felis_rexroadensis	extinct	1.8	4.9
Felis_rexroadensis	extinct	1.8	4.9
Megantereon_hesperus	extinct	1.8	4.9
Felis_rexroadensis	extinct	1.8	4.9
Smilodon	extinct	1.8	4.9
Homotherium	extinct	1.8	4.9
Megantereon_hesperus	extinct	1.8	4.9
Homotherium_crusafonti	extinct	1.8	4.9
Homotherium	extinct	1.8	4.9
Smilodon	extinct	1.8	4.9
Machairodontinae	extinct	1.8	4.9
Felinae	extinct	1.8	4.9
Felidae	extant	1.8	4.9
Felidae	extant	1.8	4.9
Felidae	extant	0.3	1.8
Homotherium	extinct	1.8	4.9
Chasmaporthetes_ossifragus	extinct	1.8	4.9
Felis_lacustris	extinct	1.8	4.9
Dinofelis_palaeoonca	extinct	1.8	4.9
Dinofelis_palaeoonca	extinct	1.8	4.9
Felis_lacustris	extinct	1.8	4.9
Dinofelis_palaeoonca	extinct	1.8	4.9
Homotherium	extinct	1.8	4.9
